«·œÊ«¡,«· —ﬂÌ»
Ambroxol 75,ambroxol 75mg / cap
Ambroxol 75,ambroxol 75mg / cap
Compiant,paracetamol+pseudoEphedrine+triProlidine
Diclocure 100,diclofenacSodium 100mg / supp
Diclocure 12.5,diclofenacSodium 12.5mg / supp
Diclocure 25,diclofenacSodium 25mg / supp
Diclocure 50,diclofenacSodium 25mg / supp
Domicure 10,domperidone 10mg / supp
Domicure 30,domperidone 30mg / supp
Domicure 60,domperidone 60mg / supp
Gynobact,
Hydrocortisone 0.5%,hydrocortisone 0.5%
Hydrocortisone 0.5%,hydrocortisone 0.5%
Hydrocortisone 1%,hydrocortisone 1%
Hydrocortisone 1%,hydrocortisone 1%
Hydrocortisone 2.5%,hydrocortisone 2.5%
Hydrocortisone 2.5%,hydrocortisone 2.5%
Levorgic 2.5,levocetrizine 2.5mg / 5ml
Levorgic 5,levocetrizine 5mg / c-tab
Lumact,flucinolone+hydrocortisone+tretinoin
Lumact,flucinolone+hydrocortisone+tretinoin
"MonoAmylase 1,000",
"MonoAmylase 1,000",
"MonoAmylase 3,000",
"MonoAmylase 3,000",
Nizarest 150,
Nizarest 300,
Paracetamol 1000,paraCetamol 1000mg / tab
Paracetamol 1000,paraCetamol 1000mg / tab
Paracetamol 120,paraCetamol 120mg / 5ml
Paracetamol 500,paraCetamol 500mg / tab
Paracetamol 500,paraCetamol 500mg / tab
Paracetamol 500,paraCetamol 500mg / tab
ParacetamolCold&flu,paraCetamol 500mg+pseudoEphedrine 30mg / tab
ParacetamolCold&flu,paraCetamol 500mg+pseudoEphedrine 30mg / tab
PlatoGrel 10,prasugrel 10mg / coated-tab
PlatoGrel 5,prasugrel 5mg / coated-tab
PrindoCard 10/10,
PrindoCard 10/10,
PrindoCard 10/5,
PrindoCard 10/5,
PrindoCard 5/10,
PrindoCard 5/10,
PrindoCard 5/5,
PrindoCard 5/5,
ProfiProf 200,ibubrofen 200mg / effervi-tab
ProfiProf 400,ibubrofen 400mg / effervi-tab
ProfiProf Cold,ibuprofen 200mg+pseudoEphedrine 30mg / c-tab
ProfiProf Plus,chlorPheneramine 2mg+ibuProfen 200mg+pseudoEphedrine 30mg / c-tab
Roxithromycin 150,roxythromycin 150mg / c-tab
Roxithromycin 300,roxythromycin 300mg / c-tab
Sterozon 5,dexamethasone 5mg / 5ml
TrISolon,codeine 10mg+pseudoEphedrine 30mgtriProlidine 1.25mg / 5ml
Zitrocure 250,azithromycin 250mg / cap
Abecort 1%,betamethasone 1%
Acecloren 100,aceclofenac 100mg / c-tab
Acecloren 200,aceclofenac 200mg / supp
Acnecid 10%,benzylPeroxide 10%
Acnecid 2.5%,benzylPeroxide 2.5%
Acnecid 5%,benzylPeroxide 5%
Acnecid 5%,benzylPeroxide 5%
Acnetrix,erythromycin 2%+isotretinoin 0.05%
ActaGlim 30/2,glimipiride 2mg+pioglitazone 30mg / tab
ActaGlim 30/2,glimipiride 2mg+pioglitazone 30mg / tab
ActaGlim 30/4,glimipiride 4mg+pioglitazone 30mg / tab
ActaGlim 30/4,glimipiride 4mg+pioglitazone 30mg / tab
ActaGlim 45/4,glimipiride 4mg+pioglitazone 45mg / tab
ActaGlim 45/4,glimipiride 4mg+pioglitazone 45mg / tab
Ambroxol 15,ambroxol 15mg / supp
Ambroxol 30,ambroxol 30mg / supp
Ambroxol 30,ambroxol 30mg / 5ml
Ambroxol 75,ambroxol 75mg / tab
AntiAge,acetyl-L-Carnitine 225mg+arginine 193mg / cap
"AntiAngina 1,000",ranolazine 1000mg / c-tab
"AntiAngina 1,000",ranolazine 1000mg / c-tab
AntiAngina 375,ranolazine 375mg / c-tab
AntiAngina 375,ranolazine 375mg / c-tab
AntiAngina 500,ranolazine 500mg / c-tab
AntiAngina 500,ranolazine 500mg / c-tab
AntiAngina 750,ranolazine 750mg / c-tab
AntiAngina 750,ranolazine 750mg / c-tab
